http://www.nytimes.com/,42396,278,text/html; charset=utf-8
http://www.nytimes.com/newsletters/presidential-forecast-updates,1918,23,text/html; charset=utf-8
http://www.nytimes.com/ref/classifieds/,2393,60,text/html
http://www.nytimes.com/2016/10/03/opinion/ushering-in-a-safe-driverless-future.html,13795,98,text/html; charset=utf-8
http://www.nytimes.com/2016/10/02/movies/the-girl-on-the-train-book-movie-adaptation.html,19055,103,text/html; charset=utf-8
http://www.nytimes.com/section/nyregion,42329,143,text/html; charset=utf-8
http://www.nytimes.com/2016/10/02/magazine/can-new-technology-bring-baseballs-data-revolution-to-fielding.html,34089,97,text/html; charset=utf-8
http://www.nytimes.com/content/help/rights/copyright/copyright-notice.html,1454,27,text/html
http://www.nytimes.com/2016/10/03/opinion/a-farming-revolution-minus-factories.html,17717,92,text/html; charset=utf-8
http://www.nytimes.com/2016/10/04/insider/times-insider-photo-challenge-caption-this.html,13051,94,text/html; charset=utf-8
http://www.nytimes.com/section/fashion,54660,186,text/html; charset=utf-8
http://www.nytimes.com/column/exclusive,31499,123,text/html; charset=utf-8
http://www.nytimes.com/2016/10/02/travel/fontainebleau-france-architecture.html,27882,111,text/html; charset=utf-8
http://www.nytimes.com/2016/10/04/us/politics/vice-president-debate-issues.html,22976,126,text/html; charset=utf-8
http://www.nytimes.com/2016/10/04/world/middleeast/iran-jason-rezaian.html,17274,104,text/html; charset=utf-8
http://www.nytimes.com/spotlight/times-tips,35486,131,text/html; charset=utf-8
http://www.nytimes.com/2016/10/03/us/the-unintended-consequences-of-taking-a-hard-line-on-school-discipline.html,24054,117,text/html; charset=utf-8
http://www.nytimes.com/2016/09/30/automobiles/autoreviews/video-review-with-genesis-hyundai-brings-a-new-luxury-brand-to-town.html,20580,110,text/html; charset=utf-8
http://www.nytimes.com/2016/10/04/us/politics/hillary-clinton-campaign.html,22115,114,text/html; charset=utf-8
http://www.nytimes.com/pages/todayspaper/index.html,18421,130,text/html
http://www.nytimes.com/2016/10/03/sports/baseball/mlb-playoff-match-ups.html,20507,106,text/html; charset=utf-8
http://www.nytimes.com/section/t-magazine,52497,178,text/html; charset=utf-8
